code	country	areacode	state	GMT	DST	DST_RANGE	GEOGRAPHIC DESCRIPTION	TZ_CODE
1	USA	282	IL	-6	Y	SSM-FSN	Illinois	CST
1	USA	283	OH	-5	Y	SSM-FSN	Ohio	EST
1	VGB	284		-4	N		British Virgin Islands	AST
1	CAN	289	ON	-5	Y	SSM-FSN	Ontario	EST
1	ABW	297		-4	N		Aruba	AST
1	USA	301	MD	-5	Y	SSM-FSN	Maryland	EST
1	USA	302	DE	-5	Y	SSM-FSN	Delaware	EST
1	USA	303	CO	-7	Y	SSM-FSN	Colorado	MST
1	USA	304	WV	-5	Y	SSM-FSN	West Virginia	EST
1	USA	305	FL	-5	Y	SSM-FSN	Florida	EST
1	CAN	306	SK	-6	N		Saskatchewan	CST
1	USA	307	WY	-7	Y	SSM-FSN	Wyoming	MST
1	USA	308	NE	-6	Y	SSM-FSN	Nebraska	CST
1	USA	309	IL	-6	Y	SSM-FSN	Illinois	CST
1	USA	310	CA	-8	Y	SSM-FSN	California	PST
1	USA	312	IL	-6	Y	SSM-FSN	Illinois	CST
1	USA	313	MI	-5	Y	SSM-FSN	Michigan	EST
1	USA	314	MO	-6	Y	SSM-FSN	Missouri	CST
1	USA	315	NY	-5	Y	SSM-FSN	New York	EST
1	USA	316	KS	-6	Y	SSM-FSN	Kansas	CST
1	USA	317	IN	-5	Y	SSM-FSN	Indiana	EST
1	USA	318	LA	-6	Y	SSM-FSN	Louisiana	CST
1	USA	319	IA	-6	Y	SSM-FSN	Iowa	CST
1	USA	320	MN	-6	Y	SSM-FSN	Minnesota	CST
1	USA	321	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	323	CA	-8	Y	SSM-FSN	California	PST
1	USA	325	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	327	AR	-6	Y	SSM-FSN	Arkansas	CST
1	USA	330	OH	-5	Y	SSM-FSN	Ohio	EST
1	USA	331	IL	-6	Y	SSM-FSN	Illinois	CST
1	USA	334	AL	-6	Y	SSM-FSN	Alabama	CST
1	USA	336	NC	-5	Y	SSM-FSN	North Carolina	EST
1	USA	337	LA	-6	Y	SSM-FSN	Louisiana	CST
1	USA	339	MA	-5	Y	SSM-FSN	Massachusetts	EST
1	VIR	340		-4	N		Virgin Islands	AST
1	USA	341	CA	-8	Y	SSM-FSN	California	PST
1	CAN	343	ON	-5	Y	SSM-FSN	Ontario	EST
1	CAY	345		-5	Y	FSA-LSO	Cayman Islands	EST
1	USA	346	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	347	NY	-5	Y	SSM-FSN	New York	EST
1	USA	351	MA	-5	Y	SSM-FSN	Massachusetts	EST
1	USA	352	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	353	WI	-6	Y	SSM-FSN	Wisconsin	CST
1	USA	358	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	360	WA	-8	Y	SSM-FSN	Washington	PST
1	USA	361	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	364	KY	-6	Y	SSM-FSN	Kentucky	CST
1	CAN	365	ON	-5	Y	SSM-FSN	Ontario	EST
1	USA	369	CA	-8	Y	SSM-FSN	California	PST
1	USA	380	OH	-5	Y	SSM-FSN	Ohio	EST
1	USA	381	VA	-5	Y	SSM-FSN	Virginia	EST
1	USA	383	ME	-5	Y	SSM-FSN	Maine	EST
1	USA	385	UT	-7	Y	SSM-FSN	Utah	MST
1	USA	386	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	401	RI	-5	Y	SSM-FSN	Rhode Island	EST
1	USA	402	NE	-6	Y	SSM-FSN	Nebraska	CST
1	CAN	403	AB	-7	Y	SSM-FSN	Alberta	MST
1	USA	404	GA	-5	Y	SSM-FSN	Georgia	EST
1	USA	405	OK	-6	Y	SSM-FSN	Oklahoma	CST
1	USA	406	MT	-7	Y	SSM-FSN	Montana	MST
1	USA	407	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	408	CA	-8	Y	SSM-FSN	California	PST
1	USA	409	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	410	MD	-5	Y	SSM-FSN	Maryland	EST
1	USA	412	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	413	MA	-5	Y	SSM-FSN	Massachusetts	EST
1	USA	414	WI	-6	Y	SSM-FSN	Wisconsin	CST
1	USA	415	CA	-8	Y	SSM-FSN	California	PST
1	CAN	416	ON	-5	Y	SSM-FSN	Ontario	EST
1	USA	417	MO	-6	Y	SSM-FSN	Missouri	CST
1	CAN	418	QC	-5	Y	SSM-FSN	Quebec	EST
1	USA	419	OH	-5	Y	SSM-FSN	Ohio	EST
1	USA	420	WI	-6	Y	SSM-FSN	Wisconsin	CST
1	USA	423	TN	-5	Y	SSM-FSN	Tennessee	EST
1	USA	424	CA	-8	Y	SSM-FSN	California	PST
1	USA	425	WA	-8	Y	SSM-FSN	Washington	PST
1	USA	430	TX	-6	Y	SSM-FSN	Texas	CST
1	CAN	431	MB	-6	Y	SSM-FSN	Manitoba	CST
1	USA	432	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	434	VA	-5	Y	SSM-FSN	Virginia	EST
1	USA	435	UT	-7	Y	SSM-FSN	Utah	MST
1	CAN	437	ON	-5	Y	SSM-FSN	Ontario	EST
1	CAN	438	QC	-5	Y	SSM-FSN	Quebec	EST
1	USA	440	OH	-5	Y	SSM-FSN	Ohio	EST
1	BMU	441		-4	Y	FSA-LSO	Bermuda	AST
1	USA	442	CA	-8	Y	SSM-FSN	California	PST
1	USA	443	MD	-5	Y	SSM-FSN	Maryland	EST
1	USA	445	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	447	IL	-6	Y	SSM-FSN	Illinois	CST
1	CAN	450	QC	-5	Y	SSM-FSN	Quebec	EST
1	USA	458	OR	-8	Y	SSM-FSN	Oregon	PST
1	USA	464	IL	-6	Y	SSM-FSN	Illinois	CST
1	USA	469	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	470	GA	-5	Y	SSM-FSN	Georgia	EST
1	GRD	473		-4	N		Grenada	AST
1	USA	475	CT	-5	Y	SSM-FSN	Connecticut	EST
1	USA	478	GA	-5	Y	SSM-FSN	Georgia	EST
1	USA	479	AR	-6	Y	SSM-FSN	Arkansas	CST
1	USA	480	AZ	-7	N		Arizona	MST
1	USA	484	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	501	AR	-6	Y	SSM-FSN	Arkansas	CST
1	USA	502	KY	-5	Y	SSM-FSN	Kentucky	EST
1	USA	503	OR	-8	Y	SSM-FSN	Oregon	PST
1	USA	504	LA	-6	Y	SSM-FSN	Louisiana	CST
1	USA	505	NM	-7	Y	SSM-FSN	New Mexico	MST
1	CAN	506	NB	-4	Y	SSM-FSN	New Brunswick	AST
1	USA	507	MN	-6	Y	SSM-FSN	Minnesota	CST
1	USA	508	MA	-5	Y	SSM-FSN	Massachusetts	EST
1	USA	509	WA	-8	Y	SSM-FSN	Washington	PST
1	USA	510	CA	-8	Y	SSM-FSN	California	PST
1	USA	512	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	513	OH	-5	Y	SSM-FSN	Ohio	EST
1	CAN	514	QC	-5	Y	SSM-FSN	Quebec	EST
1	USA	515	IA	-6	Y	SSM-FSN	Iowa	CST
1	USA	516	NY	-5	Y	SSM-FSN	New York	EST
1	USA	517	MI	-5	Y	SSM-FSN	Michigan	EST
1	USA	518	NY	-5	Y	SSM-FSN	New York	EST
1	CAN	519	ON	-5	Y	SSM-FSN	Ontario	EST
1	USA	520	AZ	-7	N		Arizona	MST
1	USA	530	CA	-8	Y	SSM-FSN	California	PST
1	USA	531	NE	-6	Y	SSM-FSN	Nebraska	CST
1	USA	534	WI	-6	Y	SSM-FSN	Wisconsin	CST
1	USA	539	OK	-6	Y	SSM-FSN	Oklahoma	CST
1	USA	540	VA	-5	Y	SSM-FSN	Virginia	EST
1	USA	541	OR	-8	Y	SSM-FSN	Oregon	PST
1	USA	546	MI	-5	Y	SSM-FSN	Michigan	EST
1	CAN	548	ON	-5	Y	SSM-FSN	Ontario	EST
1	USA	551	NJ	-5	Y	SSM-FSN	New Jersey	EST
1	USA	557	MO	-6	Y	SSM-FSN	Missouri	CST
1	USA	559	CA	-8	Y	SSM-FSN	California	PST
1	USA	561	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	562	CA	-8	Y	SSM-FSN	California	PST
1	USA	563	IA	-6	Y	SSM-FSN	Iowa	CST
1	USA	564	WA	-8	Y	SSM-FSN	Washington	PST
1	USA	567	OH	-5	Y	SSM-FSN	Ohio	EST
1	USA	570	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	571	VA	-5	Y	SSM-FSN	Virginia	EST
1	USA	573	MO	-6	Y	SSM-FSN	Missouri	CST
1	USA	574	IN	-5	Y	SSM-FSN	Indiana	EST
1	USA	575	NM	-7	Y	SSM-FSN	New Mexico	MST
1	CAN	579	QU	-5	Y	SSM-FSN	Quebec	EST
1	USA	580	OK	-6	Y	SSM-FSN	Oklahoma	CST
1	CAN	581	QC	-5	Y	SSM-FSN	Quebec	EST
1	USA	582	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	585	NY	-5	Y	SSM-FSN	New York	EST
1	USA	586	MI	-5	Y	SSM-FSN	Michigan	EST
1	CAN	587	AB	-7	Y	SSM-FSN	Alberta	MST
1	GLP	590		-4	N		Guadeloupe	AST
1	MTQ	596		-4	N		Martinique	AST
1	ANT	599		-4	N		Antilles	AST
1	USA	601	MS	-6	Y	SSM-FSN	Mississippi	CST
1	USA	602	AZ	-7	N		Arizona	MST
1	USA	603	NH	-5	Y	SSM-FSN	New Hampshire	EST
1	CAN	604	BC	-8	Y	SSM-FSN	British Columbia	PST
1	USA	605	SD	-6	Y	SSM-FSN	South Dakota	CST
1	USA	606	KY	-5	Y	SSM-FSN	Kentucky	EST
1	USA	607	NY	-5	Y	SSM-FSN	New York	EST
1	USA	608	WI	-6	Y	SSM-FSN	Wisconsin	CST
1	USA	609	NJ	-5	Y	SSM-FSN	New Jersey	EST
1	USA	610	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	612	MN	-6	Y	SSM-FSN	Minnesota	CST
1	CAN	613	ON	-5	Y	SSM-FSN	Ontario	EST
1	USA	614	OH	-5	Y	SSM-FSN	Ohio	EST
1	USA	615	TN	-6	Y	SSM-FSN	Tennessee	CST
1	USA	616	MI	-5	Y	SSM-FSN	Michigan	EST
1	USA	617	MA	-5	Y	SSM-FSN	Massachusetts	EST
1	USA	618	IL	-6	Y	SSM-FSN	Illinois	CST
1	USA	619	CA	-8	Y	SSM-FSN	California	PST
1	USA	620	KS	-6	Y	SSM-FSN	Kansas	CST
1	USA	623	AZ	-7	N		Arizona	MST
1	USA	626	CA	-8	Y	SSM-FSN	California	PST
1	USA	627	CA	-8	Y	SSM-FSN	California	PST
1	USA	628	CA	-8	Y	SSM-FSN	California	PST
1	USA	629	TN	-6	Y	SSM-FSN	Tennessee	CST
1	USA	630	IL	-6	Y	SSM-FSN	Illinois	CST
1	USA	631	NY	-5	Y	SSM-FSN	New York	EST
1	USA	636	MO	-6	Y	SSM-FSN	Missouri	CST
1	CAN	639	SK	-6	N		Saskatchewan	CST
1	USA	641	IA	-6	Y	SSM-FSN	Iowa	CST
1	USA	646	NY	-5	Y	SSM-FSN	New York	EST
1	CAN	647	ON	-5	Y	SSM-FSN	Ontario	EST
1	TCA	649		-5	Y	FSA-LSO	Turks Islands	EST
1	USA	650	CA	-8	Y	SSM-FSN	California	PST
1	USA	651	MN	-6	Y	SSM-FSN	Minnesota	CST
1	USA	657	CA	-8	Y	SSM-FSN	California	PST
1	USA	659	AL	-6	Y	SSM-FSN	Alabama	CST
1	USA	660	MO	-6	Y	SSM-FSN	Missouri	CST
1	USA	661	CA	-8	Y	SSM-FSN	California	PST
1	USA	662	MS	-6	Y	SSM-FSN	Mississippi	CST
1	MSR	664		-4	N		Montserrat	AST
1	USA	667	MD	-5	Y	SSM-FSN	Maryland	EST
1	USA	669	CA	-8	Y	SSM-FSN	California	PST
1	MNP	670	MP	+10	N		Mariana Islands	ChST
1	GUM	671	GU	+10	N		Guam	GST
1	USA	678	GA	-5	Y	SSM-FSN	Georgia	EST
1	USA	679	MI	-5	Y	SSM-FSN	Michigan	EST
1	USA	681	WV	-5	Y	SSM-FSN	West Virginia	EST
1	USA	682	TX	-6	Y	SSM-FSN	Texas	CST
1	ASM	684		-11	N		American Samoa	SST
1	USA	689	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	701	ND	-6	Y	SSM-FSN	North Dakota	CST
1	USA	702	NV	-8	Y	SSM-FSN	Nevada	PST
1	USA	703	VA	-5	Y	SSM-FSN	Virginia	EST
1	USA	704	NC	-5	Y	SSM-FSN	North Carolina	EST
1	CAN	705	ON	-5	Y	SSM-FSN	Ontario	EST
1	USA	706	GA	-5	Y	SSM-FSN	Georgia	EST
1	USA	707	CA	-8	Y	SSM-FSN	California	PST
1	USA	708	IL	-6	Y	SSM-FSN	Illinois	CST
1	CAN	709	NF	-3.5	Y	SSM-FSN	Newfoundland	NST
1	USA	712	IA	-6	Y	SSM-FSN	Iowa	CST
1	USA	713	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	714	CA	-8	Y	SSM-FSN	California	PST
1	USA	715	WI	-6	Y	SSM-FSN	Wisconsin	CST
1	USA	716	NY	-5	Y	SSM-FSN	New York	EST
1	USA	717	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	718	NY	-5	Y	SSM-FSN	New York	EST
1	USA	719	CO	-7	Y	SSM-FSN	Colorado	MST
1	USA	720	CO	-7	Y	SSM-FSN	Colorado	MST
1	NLD	721		-4	N		St. Maarten	AST
1	USA	724	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	725	NV	-8	Y	SSM-FSN	Nevada	PST
1	USA	727	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	730	IL	-6	Y	SSM-FSN	Illinois	CST
1	USA	731	TN	-6	Y	SSM-FSN	Tennessee	CST
1	USA	732	NJ	-5	Y	SSM-FSN	New Jersey	EST
1	USA	734	MI	-5	Y	SSM-FSN	Michigan	EST
1	USA	737	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	740	OH	-5	Y	SSM-FSN	Ohio	EST
1	USA	747	CA	-8	Y	SSM-FSN	California	PST
1	USA	752	CA	-8	Y	SSM-FSN	California	PST
1	USA	754	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	757	VA	-5	Y	SSM-FSN	Virginia	EST
1	LCA	758		-4	N		St. Lucia	AST
1	USA	760	CA	-8	Y	SSM-FSN	California	PST
1	USA	762	GA	-5	Y	SSM-FSN	Georgia	EST
1	USA	763	MN	-6	Y	SSM-FSN	Minnesota	CST
1	USA	764	CA	-8	Y	SSM-FSN	California	PST
1	USA	765	IN	-5	Y	SSM-FSN	Indiana	EST
1	DMA	767		-4	N		Dominica	AST
1	USA	769	MS	-6	Y	SSM-FSN	Mississippi	CST
1	USA	770	GA	-5	Y	SSM-FSN	Georgia	EST
1	USA	772	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	773	IL	-6	Y	SSM-FSN	Illinois	CST
1	USA	774	MA	-5	Y	SSM-FSN	Massachusetts	EST
1	USA	775	NV	-8	Y	SSM-FSN	Nevada	PST
1	CAN	778	BC	-8	Y	SSM-FSN	British Columbia	PST
1	USA	779	IL	-6	Y	SSM-FSN	Illinois	CST
1	CAN	780	AB	-7	Y	SSM-FSN	Alberta	MST
1	USA	781	MA	-5	Y	SSM-FSN	Massachusetts	EST
1	CAN	782	NS	-4	Y	SSM-FSN	Nova Scotia	AST
1	VCT	784		-4	N		St. Vincent	AST
1	USA	785	KS	-6	Y	SSM-FSN	Kansas	CST
1	USA	786	FL	-5	Y	SSM-FSN	Florida	EST
1	PRI	787	PR	-4	N		Puerto Rico	AST
1	USA	801	UT	-7	Y	SSM-FSN	Utah	MST
1	USA	802	VT	-5	Y	SSM-FSN	Vermont	EST
1	USA	803	SC	-5	Y	SSM-FSN	South Carolina	EST
1	USA	804	VA	-5	Y	SSM-FSN	Virginia	EST
1	USA	805	CA	-8	Y	SSM-FSN	California	PST
1	USA	806	TX	-6	Y	SSM-FSN	Texas	CST
1	CAN	807	ON	-5	Y	SSM-FSN	Ontario	EST
1	USA	808	HI	-10	N		Hawaii	HST
1	DOM	809		-4	N		Dominican Republic	AST
1	USA	810	MI	-5	Y	SSM-FSN	Michigan	EST
1	USA	812	IN	-5	Y	SSM-FSN	Indiana	EST
1	USA	813	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	814	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	815	IL	-6	Y	SSM-FSN	Illinois	CST
1	USA	816	MO	-6	Y	SSM-FSN	Missouri	CST
1	USA	817	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	818	CA	-8	Y	SSM-FSN	California	PST
1	CAN	819	QC	-5	Y	SSM-FSN	Quebec	EST
1	CAN	825	AB	-7	Y	SSM-FSN	Alberta	MST
1	USA	828	NC	-5	Y	SSM-FSN	North Carolina	EST
1	DOM	829		-4	N		Dominican Republic	AST
1	USA	830	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	831	CA	-8	Y	SSM-FSN	California	PST
1	USA	832	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	835	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	836	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	843	SC	-5	Y	SSM-FSN	South Carolina	EST
1	USA	845	NY	-5	Y	SSM-FSN	New York	EST
1	USA	847	IL	-6	Y	SSM-FSN	Illinois	CST
1	USA	848	NJ	-5	Y	SSM-FSN	New Jersey	EST
1	DOM	849		-4	N		Dominican Republic	AST
1	USA	850	FL	-6	Y	SSM-FSN	Florida	CST
1	USA	854	SC	-5	Y	SSM-FSN	South Carolina	EST
1	USA	856	NJ	-5	Y	SSM-FSN	New Jersey	EST
1	USA	857	MA	-5	Y	SSM-FSN	Massachusetts	EST
1	USA	858	CA	-8	Y	SSM-FSN	California	PST
1	USA	859	KY	-5	Y	SSM-FSN	Kentucky	EST
1	USA	860	CT	-5	Y	SSM-FSN	Connecticut	EST
1	USA	861	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	862	NJ	-5	Y	SSM-FSN	New Jersey	EST
1	USA	863	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	864	SC	-5	Y	SSM-FSN	South Carolina	EST
1	USA	865	TN	-5	Y	SSM-FSN	Tennessee	EST
1	CAN	867	YT	-8	Y	SSM-FSN	Yukon	PST
1	TTO	868		-4	N		Trinidad and Tobago	AST
1	KNA	869		-4	N		St. Kitts and Nevis	AST
1	USA	870	AR	-6	Y	SSM-FSN	Arkansas	CST
1	USA	871	CA	-8	Y	SSM-FSN	California	PST
1	USA	872	IL	-6	Y	SSM-FSN	Illinois	CST
1	CAN	873	QC	-5	Y	SSM-FSN	Quebec	EST
1	JAM	876		-5	N		Jamaica	EST
1	USA	878	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	901	TN	-6	Y	SSM-FSN	Tennessee	CST
1	CAN	902	NS	-4	Y	SSM-FSN	Nova Scotia	AST
1	USA	903	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	904	FL	-5	Y	SSM-FSN	Florida	EST
1	CAN	905	ON	-5	Y	SSM-FSN	Ontario	EST
1	USA	906	MI	-6	Y	SSM-FSN	Michigan	CST
1	USA	907	AK	-9	Y	SSM-FSN	Alaska	AKST
1	USA	908	NJ	-5	Y	SSM-FSN	New Jersey	EST
1	USA	909	CA	-8	Y	SSM-FSN	California	PST
1	USA	910	NC	-5	Y	SSM-FSN	North Carolina	EST
1	USA	912	GA	-5	Y	SSM-FSN	Georgia	EST
1	USA	913	KS	-6	Y	SSM-FSN	Kansas	CST
1	USA	914	NY	-5	Y	SSM-FSN	New York	EST
1	USA	915	TX	-7	Y	SSM-FSN	Texas	MST
1	USA	916	CA	-8	Y	SSM-FSN	California	PST
1	USA	917	NY	-5	Y	SSM-FSN	New York	EST
1	USA	918	OK	-6	Y	SSM-FSN	Oklahoma	CST
1	USA	919	NC	-5	Y	SSM-FSN	North Carolina	EST
1	USA	920	WI	-6	Y	SSM-FSN	Wisconsin	CST
1	USA	925	CA	-8	Y	SSM-FSN	California	PST
1	USA	928	AZ	-7	N		Arizona	MST
1	USA	929	NY	-5	Y	SSM-FSN	New York	EST
1	USA	930	IN	-5	Y	SSM-FSN	Indiana	EST
1	USA	931	TN	-6	Y	SSM-FSN	Tennessee	CST
1	USA	935	CA	-8	Y	SSM-FSN	California	PST
1	USA	936	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	937	OH	-5	Y	SSM-FSN	Ohio	EST
1	USA	938	AL	-6	Y	SSM-FSN	Alabama	CST
1	USA	939	PR	-4	N		Puerto Rico	AST
1	USA	940	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	941	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	947	MI	-5	Y	SSM-FSN	Michigan	EST
1	USA	949	CA	-8	Y	SSM-FSN	California	PST
1	USA	951	CA	-8	Y	SSM-FSN	California	PST
1	USA	952	MN	-6	Y	SSM-FSN	Minnesota	CST
1	USA	954	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	956	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	957	NM	-7	Y	SSM-FSN	New Mexico	MST
1	USA	959	CT	-5	Y	SSM-FSN	Connecticut	EST
1	USA	969	MD	-5	Y	SSM-FSN	Maryland	EST
1	USA	970	CO	-7	Y	SSM-FSN	Colorado	MST
1	USA	971	OR	-8	Y	SSM-FSN	Oregon	PST
1	USA	972	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	973	NJ	-5	Y	SSM-FSN	New Jersey	EST
1	USA	975	MO	-6	Y	SSM-FSN	Missouri	CST
1	USA	978	MA	-5	Y	SSM-FSN	Massachusetts	EST
1	USA	979	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	980	NC	-5	Y	SSM-FSN	North Carolina	EST
1	USA	984	NC	-5	Y	SSM-FSN	North Carolina	EST
1	USA	985	LA	-6	Y	SSM-FSN	Louisiana	CST
1	USA	989	MI	-5	Y	SSM-FSN	Michigan	EST
7	RUS	*		+3	Y	LSM-LSO	Russia	MSK
7	GEO	*		+4	Y	LSM-LSO	Georgia	GST
7	KAZ	*		+6	N		Kazakhstan	ALMT
7	TJK	*		+5	N		Tajikistan	TJT
7	TKM	*		+5	N		Turkmenistan	TMT
7	KGZ	*		+6	N		Kyrgyzstan	KGT
20	EGY	*		+2	Y	LTA-LTS	Egypt	EET
27	ZAF	*		+2	N		South Africa	SAST
30	GRC	*		+2	Y	LSM-LSO	Greece	EET
31	NLD	*		+1	Y	LSM-LSO	Netherlands Holland	CET
32	BEL	*		+1	Y	LSM-LSO	Belgium	CET
33	FRA	*		+1	Y	LSM-LSO	France	CET
34	ESP	*		+1	Y	LSM-LSO	Spain	CET
36	HUN	*		+1	Y	LSM-LSO	Hungary	CET
39	ITA	*		+1	Y	LSM-LSO	Italy	CET
39	VAT	*		+1	Y	LSM-LSO	Vatican City	CET
40	ROM	*		+2	Y	LSM-LSO	Romania	EET
41	CHE	*		+1	Y	LSM-LSO	Switzerland	CET
42	CZE	*		+1	Y	LSM-LSO	Czech Republic	CET
43	AUT	*		+1	Y	LSM-LSO	Austria	CET
44	GBR	*		0	Y	LSM-LSO	Great Britain United Kingdom	GMT
45	DNK	*		+1	Y	LSM-LSO	Denmark	CET
46	SWE	*		+1	Y	LSM-LSO	Sweden	CET
47	NOR	*		+1	Y	LSM-LSO	Norway	CET
48	POL	*		+1	Y	LSM-LSO	Poland	CET
49	DEU	*		+1	Y	LSM-LSO	Germany	CET
51	PER	*		-5	N		Peru	PET
52	MEX	222		-6	Y	FSA-LSO	Puebla, Pue. 	CST
52	MEX	223		-6	Y	FSA-LSO	Magdalena Tetela Morelos, La 	CST
52	MEX	224		-6	Y	FSA-LSO	Almolonga Todos Santos jp 	CST
52	MEX	225		-6	Y	FSA-LSO	Palmilla, Laakr 	CST
52	MEX	226		-6	Y	FSA-LSO	Altotongar 	CST
52	MEX	227		-6	Y	FSA-LSO	Huejotzingoq 	CST
